CASEID,V000,V001,V002,V008,V010,V011,V012,V013,V015,V020,V106,V107,V113,V116,V119,V120,V121,V122,V123,V124,V125,V129,V136,V137,V149,V153,V167,V170,V171A,V190,V191,V394
5  14  2,GN7,5,14,1420,1981,982,36,5,1,0,0,,21,12,1,0,1,1,0,0,0,31,4,0,0,,1,0,0,4,74102,0
5  14  3,GN7,5,14,1420,1993,1117,25,3,1,0,2,4,21,12,1,0,1,1,0,0,0,31,4,0,3,,2,0,1,4,74102,0
5  19  3,GN7,5,19,1420,1994,1138,23,2,1,0,3,3,21,12,1,1,1,1,0,1,1,31,5,1,5,,0,1,1,5,286301,1
5  19  4,GN7,5,19,1420,2002,1231,15,1,1,0,2,2,21,12,1,1,1,1,0,1,1,31,5,1,3,,0,0,1,5,286301,1
5  21  3,GN7,5,21,1420,1989,1075,28,3,1,0,0,,21,21,1,1,1,1,0,1,1,31,4,0,0,,1,0,1,5,226844,1
5  27  2,GN7,5,27,1420,1978,944,39,5,1,0,2,7,11,22,1,1,1,1,0,1,1,31,4,0,4,,0,1,1,5,182978,1
5  29  2,GN7,5,29,1420,1995,1145,22,2,1,0,3,3,21,12,1,1,1,1,0,1,0,31,3,1,5,,1,0,1,5,133369,1
5  31  2,GN7,5,31,1420,1990,1084,28,3,1,0,0,,21,21,1,1,1,1,0,1,0,31,5,2,0,,0,0,0,5,125842,0
5  39  3,GN7,5,39,1420,1990,1082,28,3,1,0,1,3,11,13,1,1,1,1,0,1,1,31,9,1,1,,0,0,0,5,243438,0
5  39  7,GN7,5,39,1420,1971,857,46,7,1,0,0,,11,13,1,1,1,1,0,1,1,31,9,1,0,,5,0,0,5,243438,0
5  44  2,GN7,5,44,1420,1990,1082,28,3,1,0,2,7,21,21,1,1,1,1,0,1,0,31,3,0,4,,6,0,0,5,161923,1
5  45  2,GN7,5,45,1420,1985,1021,33,4,1,0,0,,21,12,1,1,1,0,0,1,0,31,5,0,0,,2,0,1,5,158670,0
5  47  2,GN7,5,47,1420,1984,1014,33,4,1,0,3,4,11,12,1,1,1,1,1,1,1,31,10,2,5,,1,1,1,5,289909,1
5  47  6,GN7,5,47,1420,1995,1144,23,2,1,0,3,3,11,12,1,1,1,1,1,1,1,31,10,2,5,,0,1,1,5,289909,0
5  47  7,GN7,5,47,1420,1998,1186,19,1,1,0,2,5,11,12,1,1,1,1,1,1,1,31,10,2,3,,2,0,1,5,289909,0
5  54  1,GN7,5,54,1420,1980,962,38,5,1,0,0,,62,23,1,1,1,0,0,0,0,31,9,2,0,,0,0,0,4,54420,1
5  54  2,GN7,5,54,1420,2003,1239,15,1,1,0,0,,62,23,1,1,1,0,0,0,0,31,9,2,0,,0,0,0,4,54420,0
5  54  7,GN7,5,54,1420,1987,1056,30,4,1,0,0,,62,23,1,1,1,0,0,0,0,31,9,2,0,,0,0,0,4,54420,0
5  54  8,GN7,5,54,1420,1994,1130,24,2,1,0,2,7,62,23,1,1,1,0,0,0,0,31,9,2,4,,1,0,1,4,54420,0
5  57  2,GN7,5,57,1420,1987,1052,30,4,1,0,3,3,12,12,1,0,1,1,0,1,0,31,3,1,5,,1,1,1,5,232988,1
5  62  4,GN7,5,62,1420,1990,1083,28,3,1,0,3,4,11,12,1,1,1,1,0,1,1,31,4,0,5,,0,1,1,5,315790,0
5  77  3,GN7,5,77,1420,2000,1202,18,1,1,0,1,6,11,23,1,1,1,1,0,1,1,31,16,0,2,,0,1,1,5,139889,0
5  77  4,GN7,5,77,1420,1992,1113,25,3,1,0,0,,11,23,1,1,1,1,0,1,1,31,16,0,0,,0,0,1,5,139889,0
5  77  5,GN7,5,77,1420,1997,1169,20,2,1,0,0,,11,23,1,1,1,1,0,1,1,31,16,0,0,,0,0,0,5,139889,0
5  81  3,GN7,5,81,1420,1986,1033,32,4,1,0,1,6,11,12,1,1,1,1,0,1,1,31,3,0,2,,1,1,1,5,255756,1
5  88  3,GN7,5,88,1420,1995,1149,22,2,1,0,3,0,21,12,1,0,1,1,0,0,0,31,8,0,5,,0,0,1,5,156113,0
5  88  5,GN7,5,88,1420,1994,1131,24,2,1,0,0,,21,12,1,0,1,1,0,0,0,31,8,0,0,,0,0,1,5,156113,0
5  94  2,GN7,5,94,1420,1970,852,47,7,1,0,0,,11,12,1,1,1,1,0,1,0,31,4,0,0,,7,1,1,5,202081,0
5  94  3,GN7,5,94,1420,1992,1114,25,3,1,0,2,6,11,12,1,1,1,1,0,1,0,31,4,0,3,,0,0,1,5,202081,1
5  97  2,GN7,5,97,1420,1973,879,45,7,1,0,0,,21,21,1,0,1,1,0,1,0,32,8,1,0,,0,0,0,5,142250,0
5  97  3,GN7,5,97,1420,1978,943,39,5,1,0,0,,21,21,1,0,1,1,0,1,0,32,8,1,0,,1,0,1,5,142250,1
5  97  4,GN7,5,97,1420,1991,1104,26,3,1,0,3,3,21,21,1,0,1,1,0,1,0,32,8,1,5,,0,0,1,5,142250,1
14   3  2,GN7,14,3,1419,1970,841,48,7,1,0,0,,21,22,1,0,1,0,0,0,0,35,18,1,0,,0,0,0,4,24481,0
14   3  4,GN7,14,3,1419,1994,1131,24,2,1,0,3,2,21,22,1,0,1,0,0,0,0,35,18,1,5,,0,0,0,4,24481,0
14   3  5,GN7,14,3,1419,1999,1190,19,1,1,0,2,3,21,22,1,0,1,0,0,0,0,35,18,1,3,,0,0,0,4,24481,0
14   3  6,GN7,14,3,1419,1978,939,40,6,1,0,0,,21,22,1,0,1,0,0,0,0,35,18,1,0,,0,0,0,4,24481,0
14   3  7,GN7,14,3,1419,1996,1154,22,2,1,0,0,,21,22,1,0,1,0,0,0,0,35,18,1,0,,0,0,0,4,24481,0
14   3 11,GN7,14,3,1419,1973,877,45,7,1,0,0,,21,22,1,0,1,0,0,0,0,35,18,1,0,,0,0,0,4,24481,0
14   3 17,GN7,14,3,1419,1983,1004,34,4,1,0,0,,21,22,1,0,1,0,0,0,0,35,18,1,0,,0,0,0,4,24481,0
14  16  2,GN7,14,16,1419,1986,1037,31,4,1,0,2,4,13,12,1,1,1,1,1,0,1,35,7,0,3,,0,0,0,5,212648,0
14  16  5,GN7,14,16,1419,2003,1237,15,1,1,0,2,1,13,12,1,1,1,1,1,0,1,35,7,0,3,,0,0,0,5,212648,0
14  17  2,GN7,14,17,1419,1998,1179,20,2,1,0,1,2,14,21,1,0,1,1,0,1,0,31,2,0,1,,0,0,1,4,83070,0
14  18  2,GN7,14,18,1419,1981,973,37,5,1,0,0,,12,22,1,0,0,0,0,0,0,31,6,0,0,,30,0,0,4,54436,0
14  19  2,GN7,14,19,1419,1983,1003,34,4,1,0,0,,14,21,1,0,1,0,1,0,0,31,8,1,0,,0,0,0,4,77055,0
14  28  2,GN7,14,28,1419,1994,1133,23,2,1,0,0,,14,22,1,0,0,0,0,0,0,31,4,1,0,,0,0,0,4,14388,0
14  38  9,GN7,14,38,1419,1997,1166,21,2,1,0,2,4,14,12,1,1,1,1,0,1,1,31,11,3,3,,3,0,1,5,219076,0
14  40  2,GN7,14,40,1419,1978,939,40,6,1,0,0,,21,22,1,0,1,0,0,0,0,31,7,0,0,,0,0,0,4,74324,0
14  43  2,GN7,14,43,1419,1980,961,38,5,1,0,0,,12,12,1,0,1,1,0,0,0,31,13,5,0,,0,0,0,5,142575,0
14  43  8,GN7,14,43,1419,1985,1023,33,4,1,0,0,,12,12,1,0,1,1,0,0,0,31,13,5,0,,0,0,0,5,142575,1
14  46  2,GN7,14,46,1419,1989,1080,28,3,1,0,3,2,11,12,1,1,1,1,0,1,1,31,9,1,5,,0,0,1,5,257926,0
14  46  8,GN7,14,46,1419,1974,892,43,6,1,0,0,,11,12,1,1,1,1,0,1,1,31,9,1,0,,2,0,0,5,257926,0
14  48  2,GN7,14,48,1419,1996,1154,22,2,1,0,1,2,21,21,1,0,1,1,1,1,1,34,4,2,1,,0,0,0,5,262697,0
14  50  2,GN7,14,50,1419,1973,877,45,7,1,0,0,,14,12,1,1,0,0,0,1,0,31,8,2,0,,2,0,0,5,109182,0
14  52  3,GN7,14,52,1419,1989,1071,29,3,1,0,2,7,11,21,1,0,1,0,0,0,1,31,6,0,4,,0,0,1,5,178092,0
14  52  4,GN7,14,52,1419,1992,1114,25,3,1,0,3,2,11,21,1,0,1,0,0,0,1,31,6,0,5,,0,0,1,5,178092,0
14  52  5,GN7,14,52,1419,2001,1215,17,1,1,0,2,0,11,21,1,0,1,0,0,0,1,31,6,0,3,,0,0,0,5,178092,0
14  52  6,GN7,14,52,1419,2001,1213,17,1,1,0,2,0,11,21,1,0,1,0,0,0,1,31,6,0,3,,0,0,0,5,178092,0
14  63  5,GN7,14,63,1419,2001,1217,16,1,1,0,0,,32,22,1,1,1,1,0,0,1,31,9,0,0,,0,0,0,5,158177,0
14  78  2,GN7,14,78,1419,1991,1099,26,3,1,0,0,,21,12,1,0,1,1,0,0,1,31,6,2,0,,0,0,0,5,126693,1
14  82  8,GN7,14,82,1419,1980,961,38,5,1,0,0,,31,12,1,1,1,1,1,1,1,31,11,0,0,,0,0,0,5,220812,0
14  82 10,GN7,14,82,1419,2000,1203,18,1,1,0,2,4,31,12,1,1,1,1,1,1,1,31,11,0,3,,0,0,1,5,220812,0
14  88  3,GN7,14,88,1419,1979,953,38,5,1,0,0,,14,21,1,0,0,1,0,0,0,31,5,0,0,,0,0,0,4,1995,0
14  92  2,GN7,14,92,1419,1992,1111,25,3,1,0,2,7,11,12,1,1,1,1,0,0,1,31,7,0,4,,0,0,1,5,287958,1
14  94  2,GN7,14,94,1419,1978,938,40,6,1,0,0,,14,12,1,0,0,1,1,1,0,31,11,2,0,,2,0,0,5,169886,0
14  94  3,GN7,14,94,1419,1975,901,43,6,1,0,0,,14,12,1,0,0,1,1,1,0,31,11,2,0,,3,0,0,5,169886,0
14  94  4,GN7,14,94,1419,1988,1059,30,4,1,0,0,,14,12,1,0,0,1,1,1,0,31,11,2,0,,0,0,0,5,169886,1
14  94  5,GN7,14,94,1419,1995,1142,23,2,1,0,2,5,14,12,1,0,0,1,1,1,0,31,11,2,3,,0,0,1,5,169886,1
14  94  6,GN7,14,94,1419,1999,1189,19,1,1,0,1,5,14,12,1,0,0,1,1,1,0,31,11,2,1,,0,0,1,5,169886,0
